username,name,likes_count,urls,mentions,tweet,photos,replies_count,retweets_count,link,quote_url,video,hashtag,hashtag_count,Categories,clean
muhyi_goobeh,muhyi_goobeh,1,[],[],#WelcomeBackHRS,[],0,0,https://twitter.com/muhyi_goobeh/status/1326888967896133632,https://twitter.com/MuhammaD19s/status/1326784188889128963,0,['welcomebackhrs'],1,Buzzer,welcomebackhrs
narasipost,narasipost.com,1,['https://narasipost.com/selamat-datang-sang-habib-ummat-merindukanmu/'],[],Berita kepulangan sang Habib ini menjadi sangat trending di jagad twitter. Hastag #WelcomeBackIBHRS dan #WelcomeBackHRS menjadi amat    https://t.co/sC5vuYXq9F,[],0,0,https://twitter.com/narasipost/status/1326870777556135937,,0,"['welcomebackibhrs', 'welcomebackhrs']",2,Buzzer,berita kepulangan sang habib menjadi sangat trending jagad twitter hastag welcomebackibhrs welcomebackhrs menjadi https t co sc vuyxq f
lurahtajir1,Lurah Tajir,1,[],[],@sohib212reborn Tagarnya #WelcomeBackIBHRS  #WelcomeBackHRS #WelcomeHomeHRS,[],0,0,https://twitter.com/Lurahtajir1/status/1326770842789933059,,0,"['welcomebackibhrs', 'welcomebackhrs', 'welcomehomehrs']",3,Buzzer,sohib reborn tagarnya welcomebackibhrs welcomebackhrs welcomehomehrs
trendingviralo,Viralo Trending,0,['https://youtu.be/HKhmkkBre7s'],[],Kesaksian Habib Rizieq  https://t.co/Ep6R7a4dOj  #WelcomeHomeIBHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/TrendingViralo/status/1326700336036245504,,0,"['welcomehomeibhrs', 'welcomebackhrs']",2,Buzzer,kesaksian habib rizieq https t co ep r a doj welcomehomeibhrs welcomebackhrs
eny86315895,@en_y466,0,[],[],#WelcomeBackHRS  #WelcomeHomeIBHRS,[],0,0,https://twitter.com/eny86315895/status/1326671529216667648,https://twitter.com/fadlizon/status/1326038891711746048,0,"['welcomebackhrs', 'welcomehomeibhrs']",2,Buzzer,welcomebackhrs welcomehomeibhrs
myusufcitra,Muhammad Yusuf Citra,0,[],[],#WelcomeBackHRS,[],0,0,https://twitter.com/MYusufCitra/status/1326525081078521856,,0,['welcomebackhrs'],1,Buzzer,welcomebackhrs
iskanda35450210,Iskandar pn,2,[],[],#WelcomeBackHRS,[],0,1,https://twitter.com/Iskanda35450210/status/1326512070435639297,https://twitter.com/Hafidz_AR1924/status/1326075056460492802,0,['welcomebackhrs'],1,Buzzer,welcomebackhrs
martiaratih,Ratih Martia,0,[],[],@haikal_hassan TAKBIRRR..!!!!  ALLAHU AKBAR... !!!!  #WelcomeBackHRS,[],0,0,https://twitter.com/MartiaRatih/status/1326461480015863808,,0,['welcomebackhrs'],1,Buzzer,haikal hassan takbirrr allahu akbar welcomebackhrs
erbyt151,Erbyt15,1,[],[],@ekaaku2020 Allahuakbarrr..... #WelcomeBackHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/Erbyt151/status/1326456469282189312,,0,"['welcomebackhrs', 'welcomebackhrs']",2,Buzzer,ekaaku allahuakbarrr welcomebackhrs welcomebackhrs
beritadekhocom,wwwberitadekhocom,0,['https://nasional.kompas.com/read/2020/11/10/21201561/prabowo-populer-di-survei-capres-2024-pkb-masih-akan-ada-kejutan'],[],#pemilu2024 #pilpres2024 #politikindonesia #WelcomeBackIBHRS #WelcomeHomeHRS #WelcomeHomeIBHRS #WelcomeBackHRS    https://t.co/viH9nUJH3X  https://t.co/DAf0UxA7Wj,"['https://pbs.twimg.com/media/Emh9p9uUYAAhZ59.jpg', 'https://pbs.twimg.com/media/Emh9qKtU4AUPycX.jpg', 'https://pbs.twimg.com/media/Emh9qXrVgAA2x-j.jpg', 'https://pbs.twimg.com/media/Emh9qiaU4AInJQm.jpg']",0,0,https://twitter.com/BeritaDekhoCom/status/1326448262253981699,,1,"['pemilu2024', 'pilpres2024', 'politikindonesia', 'welcomebackibhrs', 'welcomehomehrs', 'welcomehomeibhrs', 'welcomebackhrs']",7,Buzzer,pemilu pilpres politikindonesia welcomebackibhrs welcomehomehrs welcomehomeibhrs welcomebackhrs https t co vih nujh x https t co daf uxa wj
dookie9798,Dookie,0,[],[],@HarryRidwan_Ay #WelcomeBackIBHRS #WelcomeBackHRS,[],0,1,https://twitter.com/dookie9798/status/1326309827144986625,,0,"['welcomebackibhrs', 'welcomebackhrs']",2,Buzzer,harryridwan ay welcomebackibhrs welcomebackhrs
mbudiwinoto,mbudiwinoto,0,[],[],"@fahiraidris Aamiin aamiin aamiin, Allahu Akbar #WelcomeHomeHRS #WelcomeBackHRS",[],0,0,https://twitter.com/mbudiwinoto/status/1326289354252197889,,0,"['welcomehomehrs', 'welcomebackhrs']",2,Buzzer,fahiraidris aamiin aamiin aamiin allahu akbar welcomehomehrs welcomebackhrs
junpaidi_2001,Jun_Paidi,0,[],[],Ahlan wasahlan ya habibana #habibrizieqsyihab  #WelcomeBackHRS,[],0,0,https://twitter.com/junpaidi_2001/status/1326282965354078208,https://twitter.com/Fahrihamzah/status/1325801792316211200,0,"['habibrizieqsyihab', 'welcomebackhrs']",2,Buzzer,ahlan wasahlan habibana habibrizieqsyihab welcomebackhrs
palbapang1,@palbapang,0,[],[],Sadar woooyyyyy.... !!  #WelcomeBackHRS  #WelcomeBackHRS,[],0,1,https://twitter.com/palbapang1/status/1326280621224681478,https://twitter.com/Aiek_Channel/status/1326153987981127680,0,"['welcomebackhrs', 'welcomebackhrs']",2,Buzzer,sadar woooyyyyy welcomebackhrs welcomebackhrs
tocakempong,Ahmad,1,[],[],#WelcomeBackHRS  Selamat datang pemimpin ku,[],0,0,https://twitter.com/tocakempong/status/1326279507054002176,https://twitter.com/_KingPurwa/status/1326018462653669379,0,['welcomebackhrs'],1,Buzzer,welcomebackhrs selamat datang pemimpin
sahrul310101,Muhammad Sahrul Hidayat,0,[],[],#IBHRS_SpiritUmat #WelcomeBackHRS  https://t.co/JiPmMOeObM,[],0,0,https://twitter.com/Sahrul310101/status/1326252986058862612,,1,"['ibhrs_spiritumat', 'welcomebackhrs']",2,Buzzer,ibhrs spiritumat welcomebackhrs https t co jipmmoeobm
mas_kriting,bromocorāh,0,[],[],#WelcomeHomeHRS  #WelcomeBackHRS  https://t.co/60ZX2Q4Zcz,['https://pbs.twimg.com/media/EmeUGXcUcAICWZB.jpg'],0,0,https://twitter.com/mas_kriting/status/1326191455396786177,,1,"['welcomehomehrs', 'welcomebackhrs']",2,Buzzer,welcomehomehrs welcomebackhrs https t co zx q zcz
rudiwijsman,Obeng_Jastis,1,[],[],Bisa aja Paling juga melepuh kayak singkong rebus #WelcomeHomeHRS  #WelcomeBackIBHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/RudiWijsman/status/1326190526660407297,https://twitter.com/zarazettirazr/status/1326172303235846144,0,"['welcomehomehrs', 'welcomebackibhrs', 'welcomebackhrs']",3,Buzzer,paling melepuh kayak singkong rebus welcomehomehrs welcomebackibhrs welcomebackhrs
rudiwijsman,Obeng_Jastis,0,[],[],Alhamdulillah #WelcomeBackIBHRS  #WelcomeHomeHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/RudiWijsman/status/1326189622402056192,,0,"['welcomebackibhrs', 'welcomehomehrs', 'welcomebackhrs']",3,Buzzer,alhamdulillah welcomebackibhrs welcomehomehrs welcomebackhrs
muhardiyudie,Wan Muhardi,1,[],[],#WelcomeBackIBHRS  #WelcomeHomeHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/MuhardiYudie/status/1326187836324806662,https://twitter.com/detikcom/status/1326058424812101632,0,"['welcomebackibhrs', 'welcomehomehrs', 'welcomebackhrs']",3,Buzzer,welcomebackibhrs welcomehomehrs welcomebackhrs
aridewo_bandung,Ari Dewo #PakaiMasker,0,[],[],#WelcomeBackHRS,[],0,0,https://twitter.com/aridewo_bandung/status/1326177522510295041,https://twitter.com/hnurwahid/status/1326159010815307776,0,['welcomebackhrs'],1,Buzzer,welcomebackhrs
_go_ne_,Gone,0,[],[],@geloraco @msaid_didu Ada yg gak meleset  Nyiapin baju buat jadi wapres 🤣🤣🤣  #WelcomeBackIBHRS  #WelcomeHomeHRS  #WelcomeHomeIBHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/_go_ne_/status/1326169914990764033,,0,"['welcomebackibhrs', 'welcomehomehrs', 'welcomehomeibhrs', 'welcomebackhrs']",4,Buzzer,geloraco msaid didu meleset nyiapin baju wapres welcomebackibhrs welcomehomehrs welcomehomeibhrs welcomebackhrs
jabreakyudha,Jabreak_Yudha,2,['https://twitter.com/TomatoONE_06/status/1326005495476281346?s=19'],[],Berudu belajar ngoceh 😂 #WelcomeBackHRS   https://t.co/klQ57KzXel,[],0,2,https://twitter.com/JabreakYudha/status/1326161658717220865,https://twitter.com/TomatoONE_06/status/1326005495476281346?s=19,0,['welcomebackhrs'],1,Buzzer,berudu belajar ngoceh welcomebackhrs https t co klq kzxel
dkusdedi,opamilenial,1,[],[],@Qirani_Ayara @Asyaifullah #WelcomeBackHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/DKusdedi/status/1326155958070898695,,0,"['welcomebackhrs', 'welcomebackhrs']",2,Buzzer,qirani ayara asyaifullah welcomebackhrs welcomebackhrs
yuliastutik720,Yuli Astutik,0,['https://youtu.be/Jt1FHGtcsTU'],[], https://t.co/3IIVn3lDdF  #WelcomeBackHRS,[],0,0,https://twitter.com/yuliastutik720/status/1326151932877008896,,0,['welcomebackhrs'],1,Buzzer,https t co iivn lddf welcomebackhrs
nkrindonesia79,PatriotNKRI,1,[],[],Masya Allah  #AhlanWaSahlanIBHRS  #WelcomeBackIBHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/NKRIndonesia79/status/1326148435917955078,https://twitter.com/geloraco/status/1326147922992394241,0,"['ahlanwasahlanibhrs', 'welcomebackibhrs', 'welcomebackhrs']",3,Buzzer,masya allah ahlanwasahlanibhrs welcomebackibhrs welcomebackhrs
_go_ne_,Gone,0,[],[],@_KingPurwa Haha  #WelcomeBackIBHRS  #WelcomeHomeHRS  #WelcomeHomeIBHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/_go_ne_/status/1326146627359309825,,0,"['welcomebackibhrs', 'welcomehomehrs', 'welcomehomeibhrs', 'welcomebackhrs']",4,Buzzer,kingpurwa haha welcomebackibhrs welcomehomehrs welcomehomeibhrs welcomebackhrs
plengur,Achmad Nur H,1,[],[],#WelcomeBackHRS  #WelcomeHomeHRS  🙂,[],1,0,https://twitter.com/Plengur/status/1326145650182926337,,0,"['welcomebackhrs', 'welcomehomehrs']",2,Buzzer,welcomebackhrs welcomehomehrs
